Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,Expected goals,Assists,Expected assists,Duels/90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions/90,Defensive duels/90,"Defensive duels won, %",Aerial duels/90,"Aerial duels won, %",Sliding tackles/90,PAdj Sliding tackles,Shots blocked/90,Interceptions/90,PAdj Interceptions,Fouls/90,Yellow cards,Yellow cards/90,Red cards,Red cards/90,Successful attacking actions/90,Goals/90,Non-penalty goals,Non-penalty goals/90,Expected goals/90,Head goals,Head goals/90,Shots,Shots/90,"Shots on target, %","Goal conversion, %",Assists/90,Crosses/90,"Accurate crosses, %",Crosses from left flank/90,"Accurate crosses from left flank, %",Crosses from right flank/90,"Accurate crosses from right flank, %",Crosses to goalie box/90,Dribbles/90,"Successful dribbles, %",Offensive duels/90,"Offensive duels won, %",Touches in box/90,Progressive runs/90,Accelerations/90,Received passes/90,Received long passes/90,Fouls suffered/90,Passes/90,"Accurate passes, %",Forward passes/90,"Accurate forward passes, %",Back passes/90,"Accurate back passes, %",Lateral passes/90,"Accurate lateral passes, %",Short / medium passes/90,"Accurate short / medium passes, %",Long passes/90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Expected assists/90,Shot assists/90,Second assists/90,Third assists/90,Smart passes/90,"Accurate smart passes, %",Key passes/90,Passes to final third/90,"Accurate passes to final third, %",Passes to penalty area/90,"Accurate passes to penalty area, %",Through passes/90,"Accurate through passes, %",Deep completions/90,Deep completed crosses/90,Progressive passes/90,"Accurate progressive passes, %",Conceded goals,Conceded goals/90,Shots against,Shots against/90,Clean sheets,"Save rate, %",Expected goals conceded,Expected goals conceded/90,Prevented goals,Prevented goals/90,Back passes received by GK/90,Exits/90,Aerial duels/90 (GK),Free kicks/90,Direct free kicks/90,"Direct free kicks on target, %",Corners/90,Penalties taken,"Penalty conversion, %"
Caleb Davenport,Team 22,Team 22,"AMF, RW, RWF",32,1200000,2026-11-30,10,414,0,0.19,2,0.58,17.17,43.04,Ghana,Ghana,right,168,66,yes,2.39,2.83,46.15,2.39,27.27,0.22,0.33,0.0,0.87,1.33,0.87,0,0.0,0,0.0,1.96,0.0,0,0.0,0.04,0,0.0,4,0.87,25.0,0.0,0.43,1.52,42.86,0.65,66.67,0.87,25.0,0.22,1.96,55.56,11.3,46.15,2.39,1.96,0.22,18.91,0.87,3.26,26.3,82.64,6.3,75.86,6.3,89.66,8.48,87.18,24.13,85.59,0.65,66.67,15.05,12.71,0.13,1.09,0.22,0.0,0.0,0.0,0.43,2.39,90.91,2.39,54.55,0.0,0.0,0.87,0.65,3.48,93.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Fabian Northfield,Team 22,Team 22,"RCMF, LCMF",29,800000,2028-06-30,2,45,0,0.01,0,0.0,22.0,27.27,Belgium,"Belgium, France",right,171,74,yes,10.0,10.0,20.0,4.0,50.0,0.0,0.0,0.0,8.0,13.33,4.0,0,0.0,0,0.0,2.0,0.0,0,0.0,0.03,0,0.0,1,2.0,0.0,0.0,0.0,6.0,33.33,2.0,100.0,4.0,0.0,0.0,0.0,0.0,8.0,25.0,2.0,2.0,0.0,12.0,0.0,2.0,26.0,53.85,12.0,33.33,2.0,100.0,8.0,50.0,14.0,85.71,6.0,0.0,21.0,34.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,8.0,25.0,0.0,0.0,0.0,4.0,6.0,33.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Xavier Vanderveer,Team 22,Team 22,CF,23,800000,2028-08-30,7,176,1,0.79,0,0.32,28.13,25.45,Germany,"Germany, France",right,184,78,yes,2.56,4.09,50.0,10.74,19.05,0.0,0.0,0.0,0.51,0.83,3.07,0,0.0,0,0.0,1.02,0.51,1,0.51,0.4,1,0.51,6,3.07,16.67,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,100.0,8.18,25.0,4.6,1.02,0.0,11.25,1.53,1.53,18.41,83.33,4.09,75.0,3.07,100.0,5.63,81.82,17.39,82.35,1.02,100.0,18.12,11.11,0.16,2.05,0.0,0.0,0.0,0.0,1.02,1.53,66.67,0.51,100.0,0.0,0.0,1.53,0.0,2.05,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Tobias Vance,Team 22,Team 22,"AMF, RWF, RW",33,800000,2026-12-31,17,1009,3,2.29,2,4.0,17.75,43.22,Serbia,Serbia,right,166,70,yes,3.66,3.92,59.09,2.23,44.0,0.27,0.46,0.0,1.07,1.83,1.07,2,0.18,0,0.0,2.59,0.27,2,0.18,0.2,0,0.0,29,2.59,37.93,10.345,0.18,1.52,47.06,0.09,0.0,1.43,50.0,0.09,2.59,34.48,10.7,38.33,1.25,0.62,0.09,18.64,0.98,2.94,22.83,80.47,7.67,69.77,5.26,96.61,5.53,82.26,19.18,85.12,2.32,65.38,17.62,33.4,0.36,2.68,0.0,0.18,0.09,0.0,0.62,3.39,71.05,1.96,63.64,0.27,66.67,0.8,0.62,4.64,84.62,0,,0,,0,0.0,0.0,0.0,,,0.0,,,3.48,1.25,50.0,4.91,1,100.0
Soren Ravensdale,Team 22,Team 22,"RCB, CB, LCB",33,750000,2026-11-30,13,1241,1,1.71,1,0.23,11.24,52.9,Scotland,Scotland,right,191,88,yes,8.05,3.92,55.56,4.86,58.21,0.07,0.12,0.87,5.8,9.49,0.94,3,0.22,0,0.0,0.29,0.07,1,0.07,0.12,0,0.0,13,0.94,30.77,7.692,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.29,0.0,1.16,25.0,1.38,0.29,0.0,27.85,0.94,0.36,44.17,83.91,20.6,78.17,3.12,93.02,17.48,91.7,37.2,88.69,6.89,58.95,23.42,40.73,0.02,0.07,0.0,0.0,0.0,0.0,0.07,6.82,67.02,1.02,42.86,0.44,0.0,0.36,0.0,10.44,75.0,0,,0,,0,0.0,0.0,0.0,,,2.32,,,0.0,0.0,0.0,0.0,0,0.0
Bastien Chamberlain,Team 22,Team 22,"RCB, CB, LCB",35,600000,2027-12-31,11,834,2,0.94,0,0.0,16.29,65.56,Turkey,"Turkey, Germany",right,185,81,yes,9.28,7.99,55.41,6.04,80.36,0.54,0.78,0.97,4.32,6.22,1.94,3,0.32,0,0.0,0.43,0.22,2,0.22,0.1,1,0.11,4,0.43,75.0,50.0,0.0,0.22,50.0,0.0,0.0,0.22,50.0,0.0,0.0,0.0,0.65,66.67,0.54,0.43,0.11,22.77,0.32,0.43,33.45,83.55,15.22,72.34,1.94,94.44,13.06,96.69,26.55,90.24,6.69,58.06,22.95,37.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,65.31,0.54,40.0,0.22,0.0,0.0,0.11,8.2,76.32,0,,0,,0,0.0,0.0,0.0,,,1.19,,,0.0,0.0,0.0,0.0,0,0.0
Finnegan Ellington,Team 22,Team 22,"RWB, RB",30,450000,2027-12-31,11,634,0,0.32,0,0.77,14.62,45.63,Croatia,"Croatia, Spain",right,178,76,yes,7.1,5.25,54.05,1.42,50.0,0.14,0.21,0.28,4.12,6.0,1.56,0,0.0,0,0.0,3.26,0.0,0,0.0,0.05,0,0.0,9,1.28,11.11,0.0,0.0,3.26,56.52,0.0,0.0,3.26,56.52,0.14,2.41,52.94,6.25,40.91,1.85,1.7,0.0,27.68,1.7,0.57,37.05,81.99,11.92,66.67,7.81,98.18,9.94,90.0,29.95,89.1,4.12,48.28,19.06,33.36,0.11,0.85,0.0,0.0,0.0,0.0,0.57,4.26,63.33,2.84,60.0,0.43,66.67,0.28,1.56,6.53,82.61,0,,0,,0,0.0,0.0,0.0,,,0.85,,,0.0,0.0,0.0,0.28,0,0.0
Dylan Stratford,Team 22,Team 22,"LWB, LB",31,450000,2026-12-31,18,1816,2,1.83,1,1.4,11.55,52.36,Netherlands,Netherlands,left,177,72,yes,6.74,5.1,63.11,2.53,41.18,0.1,0.15,0.05,3.42,5.34,0.79,2,0.1,0,0.0,1.98,0.1,2,0.1,0.09,0,0.0,29,1.44,24.14,6.897,0.05,2.87,31.03,2.87,31.03,0.0,0.0,0.55,1.19,62.5,3.02,45.9,1.69,1.39,0.1,23.44,2.53,0.74,31.82,74.45,12.89,66.15,5.9,97.48,8.72,72.73,25.23,83.89,3.82,45.45,20.22,39.29,0.07,0.55,0.05,0.0,0.0,0.0,0.2,4.16,65.48,2.82,36.84,0.25,40.0,0.35,0.94,7.14,69.44,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.0,0.0,0.0,0.2,0,0.0
Fabian Kessler,Team 22,Team 22,RWB,29,450000,2027-12-31,15,1074,1,0.83,1,1.23,21.45,46.48,Wales,"Wales, Spain",right,180,78,yes,9.72,6.45,70.13,3.77,44.44,0.17,0.28,0.25,5.03,8.37,0.67,2,0.17,1,0.08,4.27,0.08,1,0.08,0.07,1,0.08,7,0.59,42.86,14.286,0.08,5.45,30.77,0.17,0.0,5.28,31.75,0.84,3.94,59.57,9.55,35.96,2.51,1.68,0.08,28.74,3.6,0.59,38.88,73.28,15.25,70.33,8.13,97.94,8.04,61.46,30.25,84.76,3.44,36.59,19.78,34.99,0.1,0.84,0.17,0.0,0.08,0.0,0.5,4.61,63.64,4.11,36.73,0.42,20.0,0.59,1.68,8.97,72.9,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.17,0,0.0
Matthias Holbrook,Team 22,Team 22,"RCMF, LCMF",31,400000,2026-12-31,9,357,0,0.2,0,0.0,15.38,54.1,Cameroon,Cameroon,right,183,80,yes,9.83,9.33,56.76,3.03,50.0,1.01,1.32,0.25,3.53,4.62,2.77,2,0.5,0,0.0,0.76,0.0,0,0.0,0.05,0,0.0,4,1.01,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.25,100.0,1.26,40.0,0.5,0.5,0.0,12.61,1.01,0.25,22.44,71.91,7.06,64.29,2.27,88.89,9.08,80.56,17.9,77.46,4.03,56.25,23.41,33.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,61.9,0.5,0.0,0.0,0.0,0.0,0.0,4.29,52.94,0,,0,,0,0.0,0.0,0.0,,,0.25,,,0.0,0.0,0.0,0.0,0,0.0
